,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
493,Norte,RO,,11,,,,2020-10-28,44,1777225.0,71121,234,1449,1,,,
740,Norte,AC,,12,,,,2020-10-28,44,881935.0,30545,165,691,1,,,
987,Norte,AM,,13,,,,2020-10-28,44,4144597.0,159583,865,4491,13,,,
1234,Norte,RR,,14,,,,2020-10-28,44,605761.0,56469,287,692,1,,,
1481,Norte,PA,,15,,,,2020-10-28,44,8602865.0,250336,1101,6733,4,,,
1728,Norte,AP,,16,,,,2020-10-28,44,845731.0,51523,96,744,1,,,
1975,Norte,TO,,17,,,,2020-10-28,44,1572866.0,74837,337,1092,3,,,
2222,Nordeste,MA,,21,,,,2020-10-28,44,7075181.0,185000,332,4024,10,,,
2469,Nordeste,PI,,22,,,,2020-10-28,44,3273227.0,111543,679,2368,5,,,
2716,Nordeste,CE,,23,,,,2020-10-28,44,9132078.0,272104,1098,9325,20,,,
2963,Nordeste,RN,,24,,,,2020-10-28,44,3506853.0,80671,604,2569,5,,,
3210,Nordeste,PB,,25,,,,2020-10-28,44,4018127.0,131979,544,3076,6,,,
3457,Nordeste,PE,,26,,,,2020-10-28,44,9557071.0,161161,807,8587,12,,,
3704,Nordeste,AL,,27,,,,2020-10-28,44,3337357.0,90497,113,2226,5,,,
3951,Nordeste,SE,,28,,,,2020-10-28,44,2298696.0,84048,83,2190,6,,,
4198,Nordeste,BA,,29,,,,2020-10-28,44,14873064.0,349711,1990,7546,27,,,
4445,Sudeste,MG,,31,,,,2020-10-28,44,21168791.0,353311,2278,8872,83,,,
4692,Sudeste,ES,,32,,,,2020-10-28,44,4018650.0,153004,861,3826,10,,,
4939,Sudeste,RJ,,33,,,,2020-10-28,44,17264943.0,306672,1768,20376,84,,,
5186,Sudeste,SP,,35,,,,2020-10-28,44,45919049.0,1103582,5375,39007,122,,,
5433,Sul,PR,,41,,,,2020-10-28,44,11433957.0,210901,1360,5147,18,,,
5680,Sul,SC,,42,,,,2020-10-28,44,7164788.0,252551,2652,3068,9,,,
5927,Sul,RS,,43,,,,2020-10-28,44,11377239.0,240694,2298,5699,34,,,
6174,Centro-Oeste,MS,,50,,,,2020-10-28,44,2778986.0,81033,495,1570,4,,,
6421,Centro-Oeste,MT,,51,,,,2020-10-28,44,3484466.0,141619,606,3773,12,,,
6668,Centro-Oeste,GO,,52,,,,2020-10-28,44,7018354.0,252333,933,5654,6,,,
6915,Centro-Oeste,DF,,53,,,,2020-10-28,44,3015268.0,211442,668,3661,8,,,
